"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Bio conservation","Batch correction","Total"
"1","Palette_homo","0.7506258667575423","0.5037778507105307","0.6296127885580063","0.9999999929876888","0.86237377","0.15700198582240513","0.6496860309921115","0.9098525411355605","0.721004124753442","0.644728581808343","0.6904939075754024"
"2","Palette_non","0.8009415390007962","0.6271320999408824","0.7226234823465347","0.9999999929876888","0.83637446","0.1358658790588379","0.5210535526096888","0.9103567763993189","0.7876742785689755","0.6009126674296734","0.7129696341132548"
"5","Multigrate_homo","0.6663170568589593","0.5167817163285208","0.5221799984574318","0.9999999929876888","0.7826355","0.07758735248020716","0.2888699406524986","0.890568697704605","0.6763196911581502","0.5099153752012786","0.6097579647754015"
"6","Multigrate_non","0.6756231684206828","0.38510717842673053","0.5633493661880493","0.9999999859753776","0.9098815","0.09284872327532087","0.3302632783685292","0.8707751639122248","0.6560199247527101","0.5509421595359151","0.6139888186659921"
"7","scMoMaT_homo","0.40414007533920365","0.16253496616198965","0.44053105637431145","0.9995605454725378","0.84880805","0.07323571613856725","0.22622533154168012","0.722666015997596","0.5016916608370106","0.4677337784583707","0.4881085078855546"
"8","scMoMaT_non","0.33654263452748223","0.12466959734034536","0.4502885267138481","0.9978806551764993","0.8458304","0.07106357301984514","0.23983100677883368","0.7505556423563673","0.47734535343954376","0.4768201507679104","0.47713527237089043"
"9","MIDAS_homo","0.38410344030817745","0.19963196483974577","0.49669355247169733","0.9875620673684513","0.86900204","0.12605367388044084","0.3077962963762392","0.8166339547962351","0.5169977562470179","0.5298714923134531","0.522147250673592"
"10","MIDAS_non","0.5372475533214798","0.3324245058205824","0.5345704853534698","0.9978165766772102","0.8724029","0.11930452074323382","0.2911479117092759","0.8426162529663773","0.6005147802931856","0.5313678979591834","0.5728560273595847"
"11","scVAEIT_homo","0.6995492834590624","0.40804700175663083","0.5508557036519051","0.9999999929876888","0.8848414","0.030035645621163506","0.15721892185336328","0.771894797494204","0.6646129954638218","0.4609976868680601","0.5831668720255172"
"12","scVAEIT_non","0.694762077607791","0.39532681481518467","0.5566898211836815","0.9999999929876888","0.88829815","0.03075906208583287","0.1709666077105424","0.7566310096558192","0.6616946766485865","0.46166370833236325","0.5816822893220972"
"13","StabMap_non","0.4003557140742349","0.23240994843909274","0.5035210968926549","0.9867338432985193","0.8823003","0.11141292027064732","0.28522864718022034","0.647834074260406","0.5307551506761254","0.4816939897496797","0.5111306863055471"
"14","StabMap_homo","0.47733109095152143","0.30314284991214385","0.529220649972558","0.9943391014547909","0.88612074","0.11262978145054409","0.3344135928220951","0.6687470546210759","0.5760084230727536","0.5004777913731708","0.5457961703929205"
"15","scPoli","0.750178306749757","0.44525699856198914","0.6185552179813385","0.9999999859753776","0.8468857","0.11028657640729632","0.533815787816414","0.8778917419153455","0.7034976273171156","0.59221994682285","0.6589865551194094"
"16","SIGNAL","0.7744630993259615","0.5678013413111273","0.6697885692119598","0.9999999929876888","0.8726094","0.13796253204345704","0.46415055835037905","0.7287545099912986","0.7530132507091843","0.5508692443231209","0.6721556481547589"
"17","Seurat","0.7461348757720216","0.5691383715865126","0.6016040667891502","0.9999999859753776","0.76409054","0.14100535256522043","0.5151977919300365","0.7497213594694117","0.7292193250307655","0.5425037604973927","0.6545330992174163"
"18","scANVI","0.643133344238754","0.39065317892102597","0.5560497157275677","0.9999999929876888","0.78075194","0.10443630218505859","0.3294534752666927","0.9404294089463652","0.6474590579687591","0.5387677824965933","0.6039825477798928"
"19","Harmony","0.6450582935690551","0.39924646858242596","0.5733394175767899","0.9999999789630666","0.8654729","0.10358186449323381","0.34090191264599545","0.7498495575307038","0.6544110396728343","0.514951561864581","0.598627248549533"
"20","fastMNN","0.6767872417227976","0.3921440837280865","0.5222370252013206","0.9999999929876888","0.8620416","0.07740270069667271","0.2841587670166585","0.787009990856823","0.6477920859099734","0.5026532627920289","0.5897365566627957"
"21","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Aggregate score","Aggregate score","Aggregate score"
