"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Batch correction","Bio conservation","Total"
"1","Palette","0.923174439645058","0.9491464120842458","0.627421572804451","0.9999999761581421","0.88680434","0.07615458965301514","0.26662996078762546","0.9365811074803024","0.5415425000477101","0.8749356001729742","0.7415783601228685"
"2","StabMap","0.6706549851836177","0.5272295941455974","0.5970370471477509","0.9999999046325684","0.70524734","0.0","0.0019904734729823906","0.9406685068990258","0.4119765807396314","0.6987303827773835","0.5840288619622827"
"3","Multigrate","0.538029364593013","0.33562408463671195","0.5714428648352623","0.9999999523162841","0.33120307","0.0","5.171165580721894e-05","0.6993669355422593","0.25765543011530867","0.6112740665953178","0.4698266120033141"
"4","scMoMaT","0.7102173834097917","0.6821291369519346","0.5660126432776451","0.9999999284744263","0.86103207","1.1920928955078125e-07","0.016838464434788245","0.9574192196009129","0.4588224679935978","0.7395897730284494","0.6272828510145088"
"5","midas","0.7157819654741883","0.6619872238228426","0.56028912961483","0.9999999046325684","0.7945673","0.09621739387512207","0.08361712253816624","0.9014909447360968","0.46897318702940405","0.7345145558861073","0.628298008343426"
"6","scVAEIT","0.5776938762460014","0.3719026466891951","0.6391237825155258","1.0","0.49081922","0.0","4.1377027474346244e-05","0.6980607215016539","0.2972303285759161","0.6471800763626806","0.5072001772479748"
"7","bindSC","0.6901033391019479","0.5563893412913778","0.5477152988314629","0.9999999523162841","0.9323115","2.384185791015625e-07","0.04330031866477585","0.8080586094454622","0.445917660451441","0.6985519828852682","0.5974982539117373"
"8","uniPort","0.13138930365629953","0.08453202675453049","0.49746117228642106","0.9987451076507569","0.76477176","1.1920928955078125e-07","0.004646480383830182","0.8990023754864925","0.4171051836474131","0.42803190258700197","0.4236612150111664"
"9","UINMF","0.47526779763036825","0.37974217215188455","0.6039655208587646","0.9999999284744263","0.75008136","0.07517659664154053","0.3132325223867735","0.7784566052838051","0.4792367711630594","0.614743854778861","0.5605410213325404"
"10","fastMNN","0.8408846962402371","0.835437633978663","0.6085161715745926","0.9999999523162841","0.86464006","1.1920928955078125e-07","0.030215383991698444","0.6164198226139148","0.37781884572546187","0.8212096135274443","0.6438533064066513"
"11","Seurat","0.7228768095422816","0.6983938659892631","0.6151218339800835","0.9999999523162841","0.84664273","1.1920928955078125e-07","0.022101185205349733","0.5129507102085419","0.3454236868108551","0.759098115456978","0.5936283439985288"
"12","Harmony","0.8251759892817734","0.8038535607936638","0.6284713745117188","0.9999999761581421","0.83727026","1.1920928955078125e-07","0.022051127301336796","0.5641471968833629","0.35586717581279176","0.8143752251863245","0.6309720054369115"
"13","MaxFuse","0.7092110247991946","0.5887420017650246","0.5489128604531288","0.9999999761581421","0.8427253","3.5762786865234375e-07","0.05129124737422358","0.9627235925797466","0.46418511863221507","0.7117164657938725","0.6127039269292095"
"14","scConfluence","0.8091745449701062","0.780089795637255","0.7204902321100235","0.9999999761581421","0.53781575","1.1920928955078125e-07","0.0762011859493883","0.9586373527385152","0.39316360188560656","0.8274386372188817","0.6537286230855717"
"15","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Aggregate score","Aggregate score","Aggregate score"
